conversionOrExercisePrice,directIndirect,effectiveDate,filingDate,is10b51,postShares,symbol,transactionCode,transactionDate,transactionPrice,transactionShares,transactionValue,id,subkey,updated,tranPrice,tranShares,tranValue
,D,2020-12-05 10:18:42.598,2020-04-04,False,2120,AAPL,M,2020-04-04,,2166,,ATICDTSR_INSNRNSIOEA,00020040-0332-019400,2021-04-23 12:41:42.299,,2106,
,D,2020-06-21 07:31:52.668,2020-04-03,False,34623,AAPL,S,2020-04-04,298.58,-2248,622603.0,CSNIATA_RNDSSRINIOTE,90305124-200000003-0,2021-08-05 04:13:39.590,294.21,-2253,621025.0
49.8192,D,2020-12-10 20:28:35.317,2020-04-23,False,0,AAPL,M,2020-04-16,,9891,,NDSA_IIACNSSIRERTOTN,90000220-003304-0501,2023-01-14 11:29:02.068,,9601,
,D,2022-03-08 20:09:10.007,2020-04-30,False,7615,AAPL,S,2020-04-30,306.44,-4605,1381968.0,SOTIAIR_STNNICSNEDRA,-9000000032302560-10,2021-04-14 18:15:39.973,319.14,-4594,1398726.0
,D,2022-05-10 15:19:22.999,2020-08-15,False,855763,AAPL,G,2020-08-06,,-10837,,SRDTNIIOA_NSTAINESCR,-006200200000103-349,2021-07-11 19:04:30.605,,-10973,
,D,2021-12-23 08:41:41.944,2020-08-19,False,1118148,AAPL,F,2020-08-10,508.49,-298201,149755504.0,TTIORR_SSNANDNAICISE,36200000306900-0102-,2020-12-25 07:34:04.972,517.65,-305703,152736287.0
,D,2021-04-25 12:30:48.550,2020-08-21,True,959402,AAPL,S,2020-08-14,507.86,-20529,9846551.0,ITTANCDIR_RSSOSNENAI,020066900-0200-03031,2023-01-11 04:18:30.427,512.59,-20612,10022074.0
,D,2020-10-17 19:24:33.061,2020-09-17,False,18667,AAPL,A,2020-09-25,,18638,,RSNTN_NOADSRSIITACIE,025290-000003300-107,2020-12-22 23:25:17.024,,18146,
,D,2023-04-01 04:29:24.257,2020-09-16,False,92344,AAPL,A,2020-09-21,,89828,,ETNAIIORNSANCD_TRSIS,200900230-3070-01060,2022-07-20 13:39:17.774,,90251,
,D,2021-06-11 15:39:32.057,2020-09-20,False,343943,AAPL,A,2020-09-25,,339343,,IRETTCNSIS_ANNDRSAIO,20030704-239010-0000,2023-04-28 11:47:53.979,,343327,
,D,2021-10-09 08:44:29.885,2020-09-18,False,92194,AAPL,A,2020-09-19,,92029,,ORII_AENSDARSCTTNSNI,0900721-023000030-30,2021-05-03 03:42:19.405,,92975,
,D,2021-10-23 01:50:06.513,2020-09-28,False,90341,AAPL,A,2020-09-25,,90949,,IRENAO_SNAIDTRCNISTS,02203000-100790-3008,2021-12-31 06:47:04.804,,89233,
,D,2021-08-24 16:08:05.212,2020-09-17,False,92835,AAPL,A,2020-09-25,,92226,,SERSINITANDASTONI_CR,7032030710-020090-00,2022-08-11 17:02:40.260,,89899,
,D,2022-08-17 05:58:57.009,2020-10-01,False,572418,AAPL,M,2020-09-18,,478055,,IANDEOSTCISIAN_NRRST,0030010-0002930282-0,2021-02-02 11:42:13.186,,475955,
,D,2021-03-03 03:18:58.985,2020-10-03,False,0,AAPL,M,2020-09-17,,524126,,DTAESASNSCN_RIIRONIT,081923-00003003-0002,2022-05-06 02:48:11.359,,531732,
,D,2021-11-17 04:11:30.555,2020-09-26,False,0,AAPL,M,2020-09-28,,538339,,ISORTEDISNATNR_ASINC,09-01003-20300080240,2023-03-05 07:34:13.306,,539203,
,D,2022-06-06 06:37:37.089,2020-09-28,True,502025,AAPL,S,2020-09-25,119.63,-28790,3358347.0,ORIIT_CNDASNIAERSTNS,30002-009000120-0834,2022-08-14 12:59:03.048,114.2,-29411,3373224.0
,D,2022-10-16 23:46:15.832,2020-10-13,True,111397,AAPL,S,2020-09-29,120.12,-243499,28769857.0,NSDSRAATENRIOINCTS_I,2693-00-028000300001,2023-04-19 04:52:34.299,119.02,-255285,29662515.0
,D,2021-11-28 03:38:22.542,2020-10-18,False,45914,AAPL,M,2020-09-30,,22688,,TNIITOSNEARA_RCDSNSI,090-3201020-00900003,2021-10-09 06:51:25.282,,23101,
,D,2020-10-29 06:21:24.528,2020-10-08,False,0,AAPL,M,2020-10-12,,8656,,RSTSNDIIEORACANSTNI_,0000-09-100320082309,2023-05-30 05:07:05.301,,8522,
,D,2021-12-01 19:41:21.599,2020-10-14,False,138139,AAPL,S,2020-10-08,121.01,-12610,1558901.0,ITOIARNC_ASDRETNSINS,032100000090--000293,2022-04-11 07:46:41.568,124.0,-13026,1564866.0
,D,2023-01-01 00:15:37.424,2020-10-13,True,27492,AAPL,S,2020-10-05,126.89,-15024,1841801.0,ACESISTDOTRIRNNNIA_S,91028-00339000-20000,2022-08-12 01:05:18.048,124.44,-15234,1807528.0
,D,2020-12-08 04:01:15.647,2020-11-03,False,325036,AAPL,S,2020-10-25,114.5,-8818,961149.0,ICRS_DETINIATSANNSOR,-20190033-0200000990,2021-01-27 01:05:40.863,114.4,-9038,961262.0
